Lon,Lat,Cum,Climatology,RR
-0.5,-0.5,366.275268554688,367.436157226563,99.6840570398304
-0.5,-1,344.622436523438,353.385345458984,97.5202964559367
-0.5,-1.5,317.924011230469,330.739013671875,96.1253429708417
-0.5,-10,21.5906867980957,23.4338722229004,
-0.5,-10.5,18.2302322387695,20.1418838500977,
-0.5,-11,14.8697748184204,16.8498935699463,
-0.5,-11.5,12.5644617080688,14.7903118133545,
-0.5,-12,11.3142900466919,13.9631404876709,
-0.5,-12.5,10.0641183853149,13.1359672546387,
-0.5,-13,8.81394672393799,12.3087940216064,
-0.5,-13.5,7.56377506256104,11.4816207885742,
-0.5,-14,7.56798696517944,11.3347816467285,
-0.5,-14.5,8.82658100128174,11.8682737350464,
-0.5,-15,10.0851755142212,12.4017658233643,
-0.5,-15.5,11.3437700271606,12.9352588653564,
-0.5,-16,12.6023645401001,13.46875,
-0.5,-16.5,13.4648084640503,14.0476684570313,
-0.5,-17,13.9311056137085,14.6720123291016,
-0.5,-17.5,14.3974018096924,15.2963562011719,
-0.5,-18,14.863697052002,15.9206991195679,
-0.5,-18.5,15.3299942016602,16.5450420379639,
-0.5,-19,15.2164897918701,16.765926361084,
-0.5,-19.5,14.5231857299805,16.5833492279053,
-0.5,-2,286.180023193359,299.497161865234,95.553500878293
-0.5,-2.5,254.43603515625,268.255310058594,94.8484617511112
-0.5,-20,13.8298797607422,16.4007720947266,
-0.5,-20.5,13.1365747451782,16.2181949615479,
-0.5,-21,12.4432687759399,16.0356178283691,
-0.5,-21.5,12.1013708114624,15.6317367553711,
-0.5,-22,12.110878944397,15.0065517425537,
-0.5,-22.5,12.1203880310059,14.3813676834106,
-0.5,-23,12.1298961639404,13.7561836242676,
-0.5,-23.5,12.139404296875,13.1309995651245,
-0.5,-24,12.8008060455322,13.3460788726807,
-0.5,-24.5,14.1141014099121,14.401421546936,
-0.5,-25,15.427396774292,15.4567642211914,
-0.5,-25.5,16.7406921386719,16.5121059417725,
-0.5,-26,18.0539875030518,17.5674495697022,
-0.5,-26.5,19.4386024475098,18.742488861084,
-0.5,-27,20.8945350646973,20.0372200012207,
-0.5,-27.5,22.3504676818848,21.3319511413574,
-0.5,-28,23.8064002990723,22.6266841888428,
-0.5,-28.5,25.2623291015625,23.9214153289795,
-0.5,-29,28.6494388580322,27.3104076385498,
-0.5,-29.5,33.967716217041,32.7936630249023,
-0.5,-3,222.69206237793,237.013442993164,93.957566104954
-0.5,-3.5,190.94807434082,205.771560668945,92.7961442874151
-0.5,-30,39.2859992980957,38.2769165039063,
-0.5,-30.5,44.6042785644531,43.7601699829102,
-0.5,-31,49.9225578308106,49.2434272766113,
-0.5,-31.5,56.9795761108399,56.6022644042969,
-0.5,-32,65.7753295898438,65.8366851806641,
-0.5,-32.5,74.5710830688477,75.0711059570313,
-0.5,-33,83.3668441772461,84.305534362793,
-0.5,-33.5,92.16259765625,93.5399475097656,
-0.5,-34,103.228775024414,104.575553894043,98.7121475149025
-0.5,-34.5,116.565361022949,117.412322998047,99.2786430304154
-0.5,-35,129.901947021484,130.249099731445,99.7334701654931
-0.5,-35.5,143.238525390625,143.085876464844,100.106683433441
-0.5,-36,156.575103759766,155.922653198242,100.418445009843
-0.5,-36.5,166.810638427734,166.144943237305,100.400671352049
-0.5,-37,173.945083618164,173.752746582031,100.11069582491
-0.5,-37.5,181.079528808594,181.360565185547,99.8450399751095
-0.5,-38,188.213989257813,188.968368530273,99.6007907152249
-0.5,-38.5,195.34846496582,196.576187133789,99.3754471556958
-0.5,-39,197.827224731445,200.504516601563,98.6647224134919
-0.5,-39.5,195.650329589844,200.753372192383,97.458053856426
-0.5,-4,162.715667724609,176.344299316406,92.2715780183267
-0.5,-4.5,137.994903564453,148.731628417969,92.7811421365313
-0.5,-40,193.473449707031,201.002227783203,96.2543807801512
-0.5,-5,113.274139404297,121.118934631348,93.5230645390598
-0.5,-5.5,88.5533752441406,93.5062484741211,
-0.5,-6,63.8326034545899,65.8935546875,
-0.5,-6.5,49.3241767883301,50.0448760986328,
